id,lon,lat,name,provider
1700000,7.606924,47.567793,"Basel Bad Bf (FlixTrain)",Flixbus
1700001,7.348153,46.223220,"Sion (Rue Traversière)",Flixbus
1700002,8.631738,47.698117,"Schaffhausen station",Flixbus
1700003,8.485382,47.180749,"Zug, Chollermüli",Flixbus
1700004,9.041916,46.223756,"Bellinzona (Arbedo- Castione station)",Flixbus
1700005,8.563792,47.449535,"Zurich Airport bus station",Flixbus
1700006,6.109944,46.230536,"Geneva Airport (Bus Station)",Flixbus
1700007,8.632181,46.848800,"Erstfeld Gotthard Service Station South",Flixbus
1700008,8.232476,47.113960,"Luzern, Neuenkirch (service area)",Flixbus
1700009,9.319545,46.552262,"Splügen (Dorf)",Flixbus
1700010,8.537436,47.380855,"Zurich Bus Station",Flixbus
1700011,9.529111,46.852917,"Chur station train station (Bahnhofplatz)",Flixbus
1700012,7.587736,47.546467,"Basel SBB (Meret Oppenheim-Street)",Flixbus
1700013,8.963193,46.022440,"Lugano (Via Ciani)",Flixbus
1700014,9.366621,47.422274,"St. Gallen train station",Flixbus
1700015,6.623189,46.536324,"Lausanne (P+R Vélodrome)",Flixbus
1700016,7.433698,46.963711,"Bern (Neufeld car terminal)",Flixbus
1700017,6.146928,46.208522,"Geneva (central bus station)",Flixbus
1700018,8.723394,47.497645,"Winterthur (Lagerhausstrasse)",Flixbus
1700019,7.155162,46.815737,"Fribourg (Poya)",Flixbus
1700020,7.080065,46.105250,"Martigny",Flixbus
1700021,8.315742,47.046915,"Luzern (Landenberg)",Flixbus
1700022,9.511041,47.139365,"Vaduz (Rheinparkstadion)",Flixbus
1700023,6.146746,46.208384,"Geneva - Bus Station",BlaBlaCar
1700024,6.109288,46.230120,"Geneva - Airport Bus Station",BlaBlaCar
1700025,6.623749,46.536110,"Lausanne",BlaBlaCar
1700026,8.963815,46.023149,"Lugano",BlaBlaCar
1700027,7.589041,47.546101,"Basel",BlaBlaCar
1700028,8.537474,47.381190,"Zürich",BlaBlaCar
1700029,7.434011,46.963875,"Bern",BlaBlaCar
1700030,8.563724,47.450221,"Zurich Airport",BlaBlaCar
